tag,translation
Action,Asa sižeta
RPG,RPG
Adventure,Piedzīvojumu
Indie,Indie
Simulation,Simulācija
Strategy,Stratēģija
Fantasy,Fantāzija
Multiplayer,Multiplayer
Open World,Atvērtā pasaule
Singleplayer,Viena spēlētāja
Sci-fi,Zinātniskā fantastika
Horror,Šausmu
Shooter,Šautene
Platformer,Platformas spēle
Puzzle,Puzzle
Story Rich,Bagāts stāsts
Survival,Izdzīvošana
Stealth,Maskēšanās
Sandbox,Sandbox
Exploration,Izpētīšana
Atmospheric,Atmosfēriska
Casual,Casual
Tactical,Taktiskā
Retro,Retro
Anime,Anime
Medieval,Viduslaiku
Post-apocalyptic,Postapokaliptisks
Historical,Vēsturisks
Space,Kosmosā
Comedy,Komēdija
Psychological,Psiholoģiskā
Turn-Based,Gājieniem balstīta
War,Karš
Management,Vadība
Detective,Detektīvs
Sports,Sports
Racing,Sacīkšu
Fighting,Cīņa
Cyberpunk,Kiberpanks
Real-Time,Reālā laika
Educational,Izglītojošs
Crafting,Amatniecība
Music,Mūzika
Beautiful,Skaists
Local Co-Op,Vietējā sadarbība
Loot,Loot
Nudity,Kailums
2D,2D
Choices Matter,Izvēlei ir nozīme
Multiplayer PvP,Daudzspēlētāju PvP
Drama,Drāma
Realistic,Reālistisks
Surreal,Sirreāls
Hack and Slash,Hack and Slash
Building,Būvēšana
Zombies,Zombiji
World War II,Otrais pasaules karš
Competitive,Sacensību
Old School,Vecā skola
JRPG,JRPG
Superhero,Supervaroņi
VR,VR
MMORPG,MMORPG
Indie,Indie
MOBA,MOBA
FPS,FPS
RTS,RTS
Co-op,Co-op
PvE,PvE
3D,3D
2D,2D
